,name,model,year,selling_price,km_driven,fuel,mileage,engine,seats
0,Maruti Swift Dzire,Maruti,2014,450000,145500,Diesel,23.4,1248,5
1,Skoda Rapid 1.5,Skoda,2014,370000,120000,Diesel,21.14,1498,5
2,Honda City 2017-2020,Honda,2006,158000,140000,Petrol,17.7,1497,5
3,Hyundai i20 Sportz,Hyundai,2010,225000,127000,Diesel,23.0,1396,5
4,Maruti Swift VXI,Maruti,2007,130000,120000,Petrol,16.1,1298,5
5,Hyundai Xcent 1.2,Hyundai,2017,440000,45000,Petrol,20.14,1197,5
6,Maruti Wagon R,Maruti,2007,96000,175000,LPG,17.3,1061,5
7,Maruti 800 DX,Maruti,2001,45000,5000,Petrol,16.1,796,4
8,Toyota Etios VXD,Toyota,2011,350000,90000,Diesel,23.59,1364,5
9,Ford Figo Diesel,Ford,2013,200000,169000,Diesel,20.0,1399,5
10,Renault Duster 110PS,Renault,2014,500000,68000,Diesel,19.01,1461,5
11,Maruti Zen LX,Maruti,2005,92000,100000,Petrol,17.3,993,5
12,Maruti Swift Dzire,Maruti,2009,280000,140000,Diesel,19.3,1248,5
13,Maruti Wagon R,Maruti,2009,180000,90000,Petrol,18.9,1061,5
14,Mahindra KUV 100,Mahindra,2016,400000,40000,Petrol,18.15,1198,5
15,Maruti Ertiga SHVS,Maruti,2016,778000,70000,Diesel,24.52,1248,7
16,Hyundai i20 1.4,Hyundai,2012,500000,53000,Diesel,23.0,1396,5
17,Maruti Alto LX,Maruti,2002,150000,80000,Petrol,19.7,796,5
18,Hyundai i20 2015-2017,Hyundai,2016,680000,100000,Diesel,22.54,1396,5
19,Mahindra Verito 1.5,Mahindra,2011,174000,100000,Diesel,21.0,1461,5
20,Honda WR-V i-DTEC,Honda,2017,950000,50000,Diesel,25.5,1498,5
21,Maruti Swift Dzire,Maruti,2015,525000,40000,Diesel,26.59,1248,5
22,Maruti SX4 ZDI,Maruti,2012,600000,72000,Diesel,21.5,1248,5
